,LocID,Country,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
78019,1825,Eastern European Group,2,Medium,2020,2020.5,160665.579,179165.87399999998,339831.453,18.191
78170,1832,Eastern and South-Eastern Asia,2,Medium,2020,2020.5,1189407.443,1157302.038,2346709.481,147.58100000000002
79054,1538,Economic Community of Central African States (ECCAS),2,Medium,2020,2020.5,101889.211,102548.90400000001,204438.115,31.225
79205,1540,Economic Community of West African States (ECOWAS),2,Medium,2020,2020.5,199941.86899999998,197263.655,397205.524,78.921
79356,1547,Economic Cooperation Organization (ECO),2,Medium,2020,2020.5,259569.642,253061.151,512630.79299999995,65.459
79507,218,Ecuador,2,Medium,2020,2020.5,8823.827,8819.233,17643.06,71.038
80391,818,Egypt,2,Medium,2020,2020.5,51702.862,50631.541,102334.403,102.802
81275,222,El Salvador,2,Medium,2020,2020.5,3036.4240000000004,3449.777,6486.201,313.041
82159,226,Equatorial Guinea,2,Medium,2020,2020.5,780.38,622.605,1402.985,50.016999999999996
83043,232,Eritrea,2,Medium,2020,2020.5,1777.5479999999998,1768.879,3546.427,35.113
83927,233,Estonia,2,Medium,2020,2020.5,628.456,698.0830000000001,1326.539,31.294
84811,748,Eswatini,2,Medium,2020,2020.5,570.236,589.928,1160.164,67.45100000000001
85695,231,Ethiopia,2,Medium,2020,2020.5,57516.835,57446.748,114963.58300000001,114.964
86579,1546,Eurasian Economic Community (Eurasec),2,Medium,2020,2020.5,105882.531,117808.989,223691.52,11.164000000000001
86800,917,Europe,2,Medium,2020,2020.5,361060.973,386575.07200000004,747636.045,33.775999999999996
86801,908,Europe,2,Medium,2020,2020.5,361060.973,386575.07200000004,747636.045,33.775999999999996
88498,1506,Europe (48),2,Medium,2020,2020.5,361060.973,386575.07200000004,747636.045,33.775999999999996
88649,1829,Europe and Northern America,2,Medium,2020,2020.5,543641.495,572864.194,1116505.689,27.374000000000002
89533,1550,European Community (EC: 12),2,Medium,2020,2020.5,188832.22100000002,196028.078,384860.299,165.22
89684,1544,European Free Trade Agreement (EFTA),2,Medium,2020,2020.5,7223.9,7231.347,14455.247,28.613000000000003
89835,1549,European Union (EU: 15),2,Medium,2020,2020.5,201063.265,208443.422,409506.68700000003,130.999
89986,986,European Union (EU: 28),2,Medium,2020,2020.5,251255.705,261880.82100000003,513136.526,121.029
90137,238,Falkland Islands (Malvinas),2,Medium,2020,2020.5,,,3.483,0.28600000000000003
91021,234,Faroe Islands,2,Medium,2020,2020.5,,,48.865,35.004
91905,242,Fiji,2,Medium,2020,2020.5,454.01800000000003,442.426,896.444,49.066
92789,246,Finland,2,Medium,2020,2020.5,2732.406,2808.312,5540.718000000001,18.233
93673,250,France,2,Medium,2020,2020.5,31589.195,33684.317,65273.512,119.209
94557,1107,France (and dependencies),2,Medium,2020,2020.5,32978.761,35168.926,68147.687,103.61399999999999
94708,254,French Guiana,2,Medium,2020,2020.5,147.75,150.93200000000002,298.682,3.634
95592,258,French Polynesia,2,Medium,2020,2020.5,142.261,138.643,280.904,76.75
96476,266,Gabon,2,Medium,2020,2020.5,1132.854,1092.874,2225.728,8.638
97360,270,Gambia,2,Medium,2020,2020.5,1198.54,1218.124,2416.6639999999998,238.801
98244,268,Georgia,2,Medium,2020,2020.5,1901.227,2087.948,3989.175,57.406000000000006
99128,276,Germany,2,Medium,2020,2020.5,41415.911,42368.03400000001,83783.945,240.372
100012,288,Ghana,2,Medium,2020,2020.5,15749.999,15322.946000000002,31072.945,136.56
100896,292,Gibraltar,2,Medium,2020,2020.5,,,33.691,3369.1
101780,1536,Greater Arab Free Trade Area (GAFTA),2,Medium,2020,2020.5,214959.807,199018.592,413978.399,36.547
101931,300,Greece,2,Medium,2020,2020.5,5115.826,5307.23,10423.056,80.862
102815,304,Greenland,2,Medium,2020,2020.5,,,56.772,0.138
103699,308,Grenada,2,Medium,2020,2020.5,56.666000000000004,55.853,112.51899999999999,330.93800000000005
104583,1556,Group of 77 (G77),2,Medium,2020,2020.5,3119335.668,3015943.7989999996,6135279.467,82.60799999999999
104734,1523,Group of Eight (G8),2,Medium,2020,2020.5,447896.784,470664.227,918561.0109999999,25.225
104885,1522,Group of Seven (G7),2,Medium,2020,2020.5,380256.485,392370.066,772626.551,38.559
105036,1524,Group of Twenty (G20) - member states,2,Medium,2020,2020.5,2359867.294,2293464.124,4653331.4180000005,61.602
105187,312,Guadeloupe,2,Medium,2020,2020.5,184.55599999999998,215.571,400.12699999999995,245.778
106071,316,Guam,2,Medium,2020,2020.5,85.14,83.64299999999999,168.783,312.561
106955,320,Guatemala,2,Medium,2020,2020.5,8827.109,9088.458,17915.567,167.185
107839,324,Guinea,2,Medium,2020,2020.5,6353.234,6779.558000000001,13132.792,53.446000000000005
108723,624,Guinea-Bissau,2,Medium,2020,2020.5,962.695,1005.303,1967.9979999999998,69.986
109607,1561,Gulf Cooperation Council (GCC),2,Medium,2020,2020.5,36217.942,22446.153,58664.095,22.8
109758,328,Guyana,2,Medium,2020,2020.5,395.54900000000004,391.01,786.559,3.9960000000000004
110642,332,Haiti,2,Medium,2020,2020.5,5626.445,5776.088000000001,11402.533000000001,413.735
111526,1503,High-income countries,2,Medium,2020,2020.5,628969.382,634123.552,1263092.9340000001,33.339
112410,336,Holy See,2,Medium,2020,2020.5,,,0.809,1838.636
113294,340,Honduras,2,Medium,2020,2020.5,4948.88,4955.728,9904.608,88.521
114178,348,Hungary,2,Medium,2020,2020.5,4598.288,5062.062,9660.35,106.709
115062,352,Iceland,2,Medium,2020,2020.5,171.405,169.845,341.25,3.404
115946,356,India,2,Medium,2020,2020.5,717100.97,662903.415,1380004.385,464.149
116830,360,Indonesia,2,Medium,2020,2020.5,137717.861,135805.76,273523.62100000004,150.987
